fig_club,gesgolf_club,circolo_id,match_score,scrape_status,playable_courses,warning_courses,failed_courses,output,action
Conero,CONERO,460,100,safe,4,0,0,data/gesgolf/normalized/conero/circolo-460.json,scraped
Continental Verbania,CONTINENTAL VERBANIA,741,100,safe,3,0,0,data/gesgolf/normalized/continental-verbania/circolo-741.json,scraped
Cortina Ssd,CORTINA SSD,845,100,safe,3,0,0,data/gesgolf/normalized/cortina-ssd/circolo-845.json,scraped
Courmayeur,COURMAYEUR,14,100,warning,7,0,1,data/gesgolf/normalized/courmayeur/circolo-14.json,scraped
Croara Ssd,CROARA SSD,855,100,safe,6,0,0,data/gesgolf/normalized/croara-ssd/circolo-855.json,scraped
Cus Ferrara,CUS FERRARA,133,100,safe,4,0,0,data/gesgolf/normalized/cus-ferrara/circolo-133.json,scraped
Des Iles Borromees,DES ILES BORROMEES,480,100,safe,6,0,0,data/gesgolf/normalized/des-iles-borromees/circolo-480.json,scraped
Dolomiti,DOLOMITI,140,100,warning,4,1,0,data/gesgolf/normalized/dolomiti/circolo-140.json,scraped
Druento,DRUENTO,340,100,safe,4,0,0,data/gesgolf/normalized/druento/circolo-340.json,scraped
Ducato,DUCATO,700,100,safe,6,0,0,data/gesgolf/normalized/ducato/circolo-700.json,scraped
Faenza Cicogne,FAENZA CICOGNE,166,100,warning,2,1,0,data/gesgolf/normalized/faenza-cicogne/circolo-166.json,scraped
Fioranello,FIORANELLO,745,100,safe,6,0,0,data/gesgolf/normalized/fioranello/circolo-745.json,scraped
Firenze Ugolino,FIRENZE UGOLINO,15,100,warning,8,2,0,data/gesgolf/normalized/firenze-ugolino/circolo-15.json,scraped
Folgaria,FOLGARIA,79,100,warning,12,2,0,data/gesgolf/normalized/folgaria/circolo-79.json,scraped
Fonti,FONTI,285,100,safe,5,0,0,data/gesgolf/normalized/fonti/circolo-285.json,scraped
Franciacorta,FRANCIACORTA,69,100,warning,8,3,0,data/gesgolf/normalized/franciacorta/circolo-69.json,scraped
Frassanelle,FRASSANELLE,88,100,warning,7,3,0,data/gesgolf/normalized/frassanelle/circolo-88.json,scraped
Fronde,FRONDE,23,100,warning,4,1,0,data/gesgolf/normalized/fronde/circolo-23.json,scraped
Gardagolf,GARDAGOLF,67,100,warning,6,2,0,data/gesgolf/normalized/gardagolf/circolo-67.json,scraped
Garlenda,GARLENDA,17,100,safe,7,0,0,data/gesgolf/normalized/garlenda/circolo-17.json,scraped
Girasoli,GIRASOLI,161,100,warning,8,3,0,data/gesgolf/normalized/girasoli/circolo-161.json,scraped
Globale Jesolo,GLOBALE JESOLO,823,100,safe,3,0,0,data/gesgolf/normalized/globale-jesolo/circolo-823.json,scraped
Grado,GRADO,238,100,warning,6,1,0,data/gesgolf/normalized/grado/circolo-238.json,scraped
Green Club Lainate,GREEN CLUB LAINATE,102,100,warning,15,3,0,data/gesgolf/normalized/green-club-lainate/circolo-102.json,scraped
Gressoney,GRESSONEY,715,100,safe,3,0,0,data/gesgolf/normalized/gressoney/circolo-715.json,scraped
Is Arenas,IS ARENAS,283,100,warning,7,2,0,data/gesgolf/normalized/is-arenas/circolo-283.json,scraped
Is Molas Ssd,IS MOLAS SSD,814,100,warning,5,1,0,data/gesgolf/normalized/is-molas-ssd/circolo-814.json,scraped
Laghi,LAGHI,777,100,safe,4,0,0,data/gesgolf/normalized/laghi/circolo-777.json,scraped
Lamborghini,LAMBORGHINI,155,100,safe,2,0,0,data/gesgolf/normalized/lamborghini/circolo-155.json,scraped
Lana,LANA,256,100,warning,4,1,0,data/gesgolf/normalized/lana/circolo-256.json,scraped
Lanzo,LANZO,19,100,warning,4,2,0,data/gesgolf/normalized/lanzo/circolo-19.json,scraped
