fig_club,gesgolf_club,circolo_id,ges_route_name,suggested_fig_course_name,suggested_fig_source_external_id,suggested_relation,suggested_confidence,ges_route_status,ges_route_anomalies,protected_live,import_bucket,import_reason
Arzaga,ARZAGA,744,G.Player,Gary P. 1-9,fig-course-arzaga-gary-p-1-9,base_route,low,safe,,no,needs_review,confidence_too_low
Arzaga,ARZAGA,744,JNII1-18,Gary Player,fig-course-arzaga-gary-player,playable_course,low,safe,,no,needs_review,confidence_too_low
Arzaga,ARZAGA,744,GP+JNII1,Gary Player,fig-course-arzaga-gary-player,playable_course,low,safe,,no,needs_review,confidence_too_low
Arzaga,ARZAGA,744,JNII1-9,Gary P. 1-9,fig-course-arzaga-gary-p-1-9,base_route,low,safe,,no,needs_review,confidence_too_low
Arzaga,ARZAGA,744,GP+JNII2,Gary Player,fig-course-arzaga-gary-player,playable_course,low,safe,,no,needs_review,confidence_too_low
Arzaga,ARZAGA,744,JNII10-18,Jack N. 10-18,fig-course-arzaga-jack-n-10-18,base_route,low,safe,,no,needs_review,confidence_too_low
Asiago,ASIAGO,3,18 buche,18 Buche,fig-course-asiago-18-buche,playable_course,high,safe,,no,import_ready,all_checks_passed
Asiago,ASIAGO,3,18 buche sole,18 Buche,fig-course-asiago-18-buche,playable_course,low,safe,,no,needs_review,confidence_too_low
Asiago,ASIAGO,3,Prime 9,Prime Nove,fig-course-asiago-prime-nove,playable_course,low,warning,par_total_anomaly_for_18|second_half_empty_or_zero|many_zero_stroke_indexes,no,needs_review,ges_route_warning
Asiago,ASIAGO,3,Seconde 9,Seconde Nove,fig-course-asiago-seconde-nove,playable_course,low,warning,par_total_anomaly_for_18|second_half_empty_or_zero|many_zero_stroke_indexes,no,needs_review,ges_route_warning
Asiago,ASIAGO,3,provv2023,18 Buche,fig-course-asiago-18-buche,playable_course,low,safe,,no,needs_review,confidence_too_low
Asiago,ASIAGO,3,18 buche par 70,18 Buche,fig-course-asiago-18-buche,playable_course,low,safe,,no,needs_review,confidence_too_low
Asiago,ASIAGO,3,Prime Nove x2,Prime Nove 2 Volte,fig-course-asiago-prime-nove-2-volte,repeat_route,medium,safe,,no,needs_review,confidence_too_low
Asiago,ASIAGO,3,par 69 prov 25,18 Buche Provvisorio 2025,fig-course-asiago-18-buche-provvisorio-2025,playable_course,low,safe,,no,needs_review,confidence_too_low
Asiago,ASIAGO,3,18 buche 2025,18 Buche 2025,fig-course-asiago-18-buche-2025,playable_course,high,safe,,no,import_ready,all_checks_passed
Asolo,ASOLO,219,ASOLO 2 R/G,Giallo-Giallo,fig-course-asolo-giallo-giallo,playable_course,low,safe,,no,needs_review,confidence_too_low
Asolo,ASOLO,219,ASOLO 3 R/V,Giallo-Giallo,fig-course-asolo-giallo-giallo,playable_course,low,safe,,no,needs_review,confidence_too_low
Asolo,ASOLO,219,ASOLO 4 V/G,Giallo-Giallo,fig-course-asolo-giallo-giallo,playable_course,low,safe,,no,needs_review,confidence_too_low
Asolo,ASOLO,219,Asolo 5 NO,Giallo-Giallo,fig-course-asolo-giallo-giallo,playable_course,low,safe,,no,needs_review,confidence_too_low
Asolo,ASOLO,219,ASOLO 6 V/R,Giallo-Giallo,fig-course-asolo-giallo-giallo,playable_course,low,safe,,no,needs_review,confidence_too_low
Asolo,ASOLO,219,ASOLO 1 G/V,Giallo-Giallo,fig-course-asolo-giallo-giallo,playable_course,low,safe,,no,needs_review,confidence_too_low
Asolo,ASOLO,219,ASOLO 7 G/R,Giallo-Giallo,fig-course-asolo-giallo-giallo,playable_course,low,safe,,no,needs_review,confidence_too_low
Asolo,ASOLO,219,ROSSO 9 BUCHE,Percorso Rosso 9 buche,fig-course-asolo-percorso-rosso-9-buche,base_route,medium,safe,,no,needs_review,confidence_too_low
